EXTRACTED_DATE,EXTRACTED_TIME,STOCK_NAME,EXTRACTED_PRICE
18-12-2025,05:28:59,YESBANK,21.49
18-12-2025,05:29:00,YESBANK,21.49
18-12-2025,05:29:02,YESBANK,21.49
18-12-2025,05:29:02,YESBANK,21.49
18-12-2025,05:29:03,YESBANK,21.49
18-12-2025,05:29:04,YESBANK,21.49
18-12-2025,05:29:05,YESBANK,21.49
18-12-2025,05:29:05,YESBANK,21.49
18-12-2025,05:29:09,YESBANK,21.49
18-12-2025,05:29:09,YESBANK,21.49
18-12-2025,05:29:10,YESBANK,21.49
18-12-2025,05:29:11,YESBANK,21.49
18-12-2025,05:29:13,YESBANK,21.49
18-12-2025,05:29:14,YESBANK,21.49
18-12-2025,05:29:14,YESBANK,21.49
18-12-2025,05:29:15,YESBANK,21.49
18-12-2025,05:29:16,YESBANK,21.49
18-12-2025,05:29:16,YESBANK,21.49
18-12-2025,05:29:20,YESBANK,21.49
18-12-2025,05:29:20,YESBANK,21.49
18-12-2025,05:29:21,YESBANK,21.49
18-12-2025,05:29:22,YESBANK,21.49
18-12-2025,05:29:24,YESBANK,21.49
18-12-2025,05:29:24,YESBANK,21.49
18-12-2025,05:29:25,YESBANK,21.49
18-12-2025,05:29:26,YESBANK,21.49
18-12-2025,05:29:27,YESBANK,21.49
18-12-2025,05:29:27,YESBANK,21.49
18-12-2025,05:29:31,YESBANK,21.49
18-12-2025,05:29:31,YESBANK,21.49
18-12-2025,05:29:32,YESBANK,21.48
18-12-2025,05:29:33,YESBANK,21.48
18-12-2025,05:29:35,YESBANK,21.48
18-12-2025,05:29:35,YESBANK,21.48
18-12-2025,05:29:36,YESBANK,21.49
18-12-2025,05:29:37,YESBANK,21.49
18-12-2025,05:29:38,YESBANK,21.49
18-12-2025,05:29:38,YESBANK,21.49
18-12-2025,05:29:42,YESBANK,21.49
18-12-2025,05:29:42,YESBANK,21.49
18-12-2025,05:29:42,YESBANK,21.49
18-12-2025,05:29:44,YESBANK,21.49
18-12-2025,05:29:46,YESBANK,21.49
18-12-2025,05:29:46,YESBANK,21.49
18-12-2025,05:29:47,YESBANK,21.49
18-12-2025,05:29:48,YESBANK,21.49
18-12-2025,05:29:49,YESBANK,21.49
18-12-2025,05:29:49,YESBANK,21.49
18-12-2025,05:29:52,YESBANK,21.49
18-12-2025,05:29:53,YESBANK,21.49
18-12-2025,05:29:53,YESBANK,21.49
18-12-2025,05:29:55,YESBANK,21.49
18-12-2025,05:29:57,YESBANK,21.49
18-12-2025,05:29:57,YESBANK,21.49
18-12-2025,05:29:58,YESBANK,21.49
18-12-2025,05:29:59,YESBANK,21.49
18-12-2025,05:30:00,YESBANK,21.49
18-12-2025,05:30:00,YESBANK,21.49
18-12-2025,05:30:03,YESBANK,21.49
18-12-2025,05:30:04,YESBANK,21.49
18-12-2025,05:30:04,YESBANK,21.49
18-12-2025,05:30:06,YESBANK,21.49
18-12-2025,05:30:08,YESBANK,21.49
